wavelength_um,flux_erg/cm2/s/hz
1.500521154650225064e+00,3.337286924341588648e-08
1.502666288538216932e+00,3.252982962426242438e-08
1.504814489093668328e+00,3.433637888127591374e-08
1.506965760700664347e+00,3.445868975143135723e-08
1.509120107749557516e+00,3.542755649471667557e-08
1.511277534636976450e+00,3.569380790081121785e-08
1.513438045765835849e+00,3.560644330779726786e-08
1.515601645545344045e+00,3.677422211094648663e-08
1.517768338391013216e+00,3.664580650774628397e-08
1.519938128724667159e+00,3.686421598567895699e-08
1.522111020974452389e+00,3.716639284823355290e-08
1.524287019574844804e+00,3.785551398727131386e-08
1.526466128966660118e+00,3.787239486949580750e-08
1.528648353597062970e+00,3.827933673196500641e-08
1.530833697919575132e+00,3.863089532341275002e-08
1.533022166394085062e+00,3.922903393626177426e-08
1.535213763486857452e+00,3.968399506150799387e-08
1.537408493670541443e+00,3.966483108323117186e-08
1.539606361424180392e+00,4.039049196935921612e-08
1.541807371233221646e+00,4.049699497999716838e-08
1.544011527589523647e+00,4.074936153699021093e-08
1.546218834991367252e+00,4.114697620044986067e-08
1.548429297943463734e+00,4.138733881348379251e-08
1.550642920956964321e+00,4.147934492151139711e-08
1.552859708549469087e+00,4.186966196472095383e-08
1.555079665245036491e+00,4.204994025082503423e-08
1.557302795574193155e+00,4.233655343107155453e-08
1.559529104073942074e+00,4.264642554210604602e-08
1.561758595287772167e+00,4.280362017853365596e-08
1.563991273765667600e+00,4.303566996103120012e-08
1.566227144064117560e+00,4.331060966074681852e-08
1.568466210746124911e+00,4.357074378849741293e-08
1.570708478381215967e+00,4.389002974440267392e-08
1.572953951545449369e+00,4.417582955217686052e-08
1.575202634821425862e+00,4.450660818862538012e-08
1.577454532798297393e+00,4.476097777376602226e-08
1.579709650071775995e+00,4.507078412881944839e-08
1.581967991244144667e+00,4.539813504946384615e-08
1.584229560924265146e+00,4.570937818717637844e-08
1.586494363727588119e+00,4.601175422996983860e-08
1.588762404276162332e+00,4.633368045904009617e-08
1.591033687198644575e+00,4.655907707594400288e-08
1.593308217130307902e+00,4.693609316998034583e-08
1.595585998713053399e+00,4.718355277019408575e-08
1.597867036595416623e+00,4.746512699412102817e-08
1.600151335432579591e+00,4.772536348053339676e-08
1.602438899886378998e+00,4.785194661814900782e-08
1.604729734625315984e+00,4.804074042402768086e-08
1.607023844324565687e+00,4.823988045160146099e-08
1.609321233665987672e+00,4.831812193703676089e-08
1.611621907338133486e+00,4.838402450285018104e-08
1.613925870036258203e+00,4.772756128338155411e-08
1.616233126462328862e+00,4.795174477050607080e-08
1.618543681325034456e+00,4.803555230209283514e-08
1.620857539339795039e+00,4.715878255888098986e-08
1.623174705228772829e+00,4.686287263213477887e-08
1.625495183720879755e+00,4.795139982677027324e-08
1.627818979551789003e+00,4.747403802352427977e-08
1.630146097463943455e+00,4.702935393249372152e-08
1.632476542206565240e+00,4.857496131263312494e-08
1.634810318535667051e+00,4.890361988526002063e-08
1.637147431214059923e+00,4.782187593677252736e-08
1.639487885011364110e+00,4.883125559729243707e-08
1.641831684704017968e+00,4.923623232014908531e-08
1.644178835075289058e+00,5.139616575205912867e-08
1.646529340915282358e+00,5.109485481436890344e-08
1.648883207020951369e+00,5.145305151198849316e-08
1.651240438196106552e+00,5.222140082308855338e-08
1.653601039251426430e+00,5.308122889048725007e-08
1.655965015004466245e+00,5.189421730304205212e-08
1.658332370279669510e+00,5.286926028313733796e-08
1.660703109908375552e+00,5.410781731561834142e-08
1.663077238728830842e+00,5.446423152958068995e-08
1.665454761586198762e+00,4.781578305056319153e-08
1.667835683332569374e+00,4.630196221889480811e-08
1.670220008826969416e+00,5.118123603663046519e-08
1.672607742935371178e+00,5.216248782063956660e-08
1.674998890530704054e+00,5.373156791331638419e-08
1.677393456492863866e+00,5.519666326340529949e-08
1.679791445708722186e+00,5.610355469996653490e-08
1.682192863072137001e+00,5.652995466729711777e-08
1.684597713483963144e+00,5.516774603586887392e-08
1.687006001852060511e+00,5.613172297918063526e-08
1.689417733091306051e+00,5.707253705616178394e-08
1.691832912123602428e+00,5.656805708399308639e-08
1.694251543877889343e+00,5.574835005088669846e-08
1.696673633290152416e+00,5.686666007810123513e-08
1.699099185303433845e+00,5.685111926101009138e-08
1.701528204867841954e+00,5.596701443228919252e-08
1.703960696940562514e+00,5.702166941304828099e-08
1.706396666485867186e+00,5.956753037538695330e-08
1.708836118475125287e+00,5.980315665520267557e-08
1.711279057886812671e+00,5.974853155631278428e-08
1.713725489706522387e+00,5.978600543173238392e-08
1.716175418926974894e+00,6.010393496874576392e-08
1.718628850548028719e+00,6.159514752931877064e-08
1.721085789576689340e+00,6.269193293768648430e-08
1.723546241027120951e+00,6.178124860936438496e-08
1.726010209920655125e+00,6.212129816462539277e-08
1.728477701285803025e+00,6.291298890550136687e-08
1.730948720158263177e+00,6.221625139032723790e-08
1.733423271580934344e+00,6.232975330264012764e-08
1.735901360603923749e+00,6.229315148070269125e-08
1.738382992284558615e+00,6.413037847389435431e-08
1.740868171687395716e+00,6.270611897952440855e-08
1.743356903884232700e+00,6.517721011428141658e-08
1.745849193954117418e+00,6.377595226219253664e-08
1.748345046983358575e+00,6.526468522256515094e-08
1.750844468065536841e+00,6.632811509313001889e-08
