wavelength_um, flux_erg/cm2/s/hz
1.500521154650225064e+00,2.997814178278499606e-08
1.502666288538216932e+00,2.913537674846686307e-08
1.504814489093668328e+00,3.089379641572523930e-08
1.506965760700664347e+00,3.101812888068289411e-08
1.509120107749557516e+00,3.193036320018111154e-08
1.511277534636976450e+00,3.216723334675250899e-08
1.513438045765835849e+00,3.205920545098530071e-08
1.515601645545344045e+00,3.323099500649146527e-08
1.517768338391013216e+00,3.305125546040299279e-08
1.519938128724667159e+00,3.328123091439590845e-08
1.522111020974452389e+00,3.356181045673104955e-08
1.524287019574844804e+00,3.421044532248300524e-08
1.526466128966660118e+00,3.419628982795258392e-08
1.528648353597062970e+00,3.457974822850639596e-08
1.530833697919575132e+00,3.487626250277259035e-08
1.533022166394085062e+00,3.541296280053927767e-08
1.535213763486857452e+00,3.585515505874969458e-08
1.537408493670541443e+00,3.577200064448154595e-08
1.539606361424180392e+00,3.650677043301101489e-08
1.541807371233221646e+00,3.659071209838868105e-08
1.544011527589523647e+00,3.681478394821879119e-08
1.546218834991367252e+00,3.723884423585492461e-08
1.548429297943463734e+00,3.745262313813065907e-08
1.550642920956964321e+00,3.752109710903097773e-08
1.552859708549469087e+00,3.791286877005274776e-08
1.555079665245036491e+00,3.808883293403369032e-08
1.557302795574193155e+00,3.836197389871233087e-08
1.559529104073942074e+00,3.868737410726310510e-08
1.561758595287772167e+00,3.883874563361772475e-08
1.563991273765667600e+00,3.905704461900390672e-08
1.566227144064117560e+00,3.933368591448792036e-08
1.568466210746124911e+00,3.958870045532215878e-08
1.570708478381215967e+00,3.989762757052799622e-08
1.572953951545449369e+00,4.016528526584115569e-08
1.575202634821425862e+00,4.049303051303907512e-08
1.577454532798297393e+00,4.073104701223360520e-08
1.579709650071775995e+00,4.102320486591227435e-08
1.581967991244144667e+00,4.135074721987912508e-08
1.584229560924265146e+00,4.164340508387038122e-08
1.586494363727588119e+00,4.191669102277169480e-08
1.588762404276162332e+00,4.221119824999453838e-08
1.591033687198644575e+00,4.239810582000294528e-08
1.593308217130307902e+00,4.274712810098627891e-08
1.595585998713053399e+00,4.295277771028986658e-08
1.597867036595416623e+00,4.320144734467297705e-08
1.600151335432579591e+00,4.341964984788656950e-08
