wavelength_um, flux_erg/cm2/s/hz
1.500521154650225064e+00,5.236070181317614250e-08
1.502666288538216932e+00,5.043690956897375346e-08
1.504814489093668328e+00,5.424842318807281626e-08
1.506965760700664347e+00,5.448011346848556704e-08
1.509120107749557516e+00,5.622207150247836554e-08
1.511277534636976450e+00,5.654148009857333087e-08
1.513438045765835849e+00,5.624949375954052320e-08
1.515601645545344045e+00,5.869648762873466784e-08
1.517768338391013216e+00,5.808310419516503155e-08
1.519938128724667159e+00,5.856963145420310670e-08
1.522111020974452389e+00,5.902879550155359544e-08
1.524287019574844804e+00,6.024430526629238975e-08
1.526466128966660118e+00,6.010854346044459122e-08
1.528648353597062970e+00,6.082621692887060466e-08
1.530833697919575132e+00,6.128483768925432040e-08
1.533022166394085062e+00,6.224765107022918963e-08
1.535213763486857452e+00,6.311733546271993070e-08
1.537408493670541443e+00,6.273894098487228395e-08
1.539606361424180392e+00,6.418583110508411071e-08
1.541807371233221646e+00,6.413740890787196042e-08
1.544011527589523647e+00,6.435104676208806261e-08
1.546218834991367252e+00,6.511003174025221388e-08
1.548429297943463734e+00,6.531766755872185727e-08
1.550642920956964321e+00,6.522891306756465178e-08
1.552859708549469087e+00,6.587468178728258818e-08
1.555079665245036491e+00,6.607445402329343820e-08
1.557302795574193155e+00,6.647932043629251510e-08
1.559529104073942074e+00,6.702710204150908253e-08
1.561758595287772167e+00,6.717896212149234771e-08
1.563991273765667600e+00,6.745932104925805806e-08
1.566227144064117560e+00,6.788010669400822355e-08
1.568466210746124911e+00,6.831816403316683505e-08
1.570708478381215967e+00,6.891051704968401025e-08
1.572953951545449369e+00,6.940600369633710770e-08
1.575202634821425862e+00,7.004106077438793837e-08
1.577454532798297393e+00,7.047937731002552977e-08
1.579709650071775995e+00,7.102477949214497039e-08
1.581967991244144667e+00,7.167174489704521943e-08
1.584229560924265146e+00,7.220942923460237398e-08
1.586494363727588119e+00,7.267284437894151852e-08
1.588762404276162332e+00,7.318076615829508898e-08
1.591033687198644575e+00,7.345529881311492969e-08
1.593308217130307902e+00,7.406629980911711447e-08
1.595585998713053399e+00,7.436698693605696595e-08
1.597867036595416623e+00,7.477484416049108737e-08
1.600151335432579591e+00,7.509948519652186318e-08
1.602438899886378998e+00,7.513331107119211838e-08
1.604729734625315984e+00,7.525621725725882383e-08
1.607023844324565687e+00,7.532402314192355736e-08
1.609321233665987672e+00,7.512415106349346736e-08
1.611621907338133486e+00,7.501856253292548699e-08
1.613925870036258203e+00,7.337203718805702944e-08
1.616233126462328862e+00,7.349508741372761357e-08
1.618543681325034456e+00,7.324518679835641701e-08
1.620857539339795039e+00,7.133521178380056887e-08
1.623174705228772829e+00,7.066437329160409516e-08
1.625495183720879755e+00,7.234767915252335071e-08
1.627818979551789003e+00,7.140549631285686912e-08
1.630146097463943455e+00,7.048769231619081819e-08
1.632476542206565240e+00,7.299154649862410624e-08
1.634810318535667051e+00,7.376316405788683660e-08
1.637147431214059923e+00,7.199184523217517913e-08
1.639487885011364110e+00,7.364831841637435889e-08
1.641831684704017968e+00,7.446166060520390871e-08
1.644178835075289058e+00,7.799032589475216292e-08
1.646529340915282358e+00,7.720976905829509409e-08
1.648883207020951369e+00,7.786399307220625271e-08
1.651240438196106552e+00,7.922716734785040729e-08
1.653601039251426430e+00,8.065358053098763073e-08
1.655965015004466245e+00,7.832283581430143983e-08
1.658332370279669510e+00,7.986512488116340595e-08
1.660703109908375552e+00,8.212400593089841355e-08
1.663077238728830842e+00,8.258715503532455953e-08
1.665454761586198762e+00,7.093586470323601883e-08
1.667835683332569374e+00,6.776494057750852495e-08
1.670220008826969416e+00,7.547463481360030701e-08
1.672607742935371178e+00,7.709925655348700562e-08
1.674998890530704054e+00,8.006409768374496907e-08
1.677393456492863866e+00,8.255749603696458595e-08
1.679791445708722186e+00,8.435343119543678817e-08
1.682192863072137001e+00,8.522773562303823970e-08
1.684597713483963144e+00,8.275373257890453049e-08
1.687006001852060511e+00,8.418668459559965071e-08
1.689417733091306051e+00,8.566976559033079157e-08
1.691832912123602428e+00,8.457780473200070655e-08
1.694251543877889343e+00,8.294468373159424887e-08
1.696673633290152416e+00,8.434747310820065314e-08
1.699099185303433845e+00,8.420899293652794107e-08
1.701528204867841954e+00,8.251829695581619739e-08
1.703960696940562514e+00,8.421559254051219156e-08
1.706396666485867186e+00,8.858020235437868776e-08
1.708836118475125287e+00,8.882893816358316610e-08
1.711279057886812671e+00,8.838431965002216117e-08
1.713725489706522387e+00,8.804080738099834661e-08
1.716175418926974894e+00,8.859218407334788754e-08
1.718628850548028719e+00,9.096750887852729953e-08
1.721085789576689340e+00,9.310899374955902072e-08
1.723546241027120951e+00,9.105542494403355225e-08
1.726010209920655125e+00,9.159657912951281105e-08
1.728477701285803025e+00,9.279653951282268007e-08
1.730948720158263177e+00,9.120250651010647552e-08
1.733423271580934344e+00,9.124169142582168187e-08
1.735901360603923749e+00,9.070771449814995166e-08
1.738382992284558615e+00,9.398169641362921334e-08
1.740868171687395716e+00,9.092386799339310169e-08
1.743356903884232700e+00,9.550322034093202744e-08
1.745849193954117418e+00,9.248181602979322070e-08
1.748345046983358575e+00,9.515490528164124113e-08
1.750844468065536841e+00,9.658502929680485809e-08
1.753347462301513504e+00,9.508610189920070494e-08
1.755854034799443131e+00,9.029445965956705800e-08
1.758364190674782002e+00,9.038614613494871979e-08
