wavelength_um, flux_erg/cm2/s/hz
1.500521154650225064e+00,2.766597328608440422e-08
1.502666288538216932e+00,2.698928063556260330e-08
1.504814489093668328e+00,2.846433318726619270e-08
1.506965760700664347e+00,2.857870213588938817e-08
1.509120107749557516e+00,2.938307970463084797e-08
1.511277534636976450e+00,2.961583591169565981e-08
1.513438045765835849e+00,2.954212576483617282e-08
1.515601645545344045e+00,3.053214535525082098e-08
1.517768338391013216e+00,3.042471228227186055e-08
1.519938128724667159e+00,3.061701183655198225e-08
1.522111020974452389e+00,3.087988593539389135e-08
1.524287019574844804e+00,3.146247876723310733e-08
1.526466128966660118e+00,3.148469259338874073e-08
1.528648353597062970e+00,3.183926067808961361e-08
1.530833697919575132e+00,3.214002075436031826e-08
1.533022166394085062e+00,3.263676712817228925e-08
1.535213763486857452e+00,3.303617578823997847e-08
1.537408493670541443e+00,3.301959435703927337e-08
1.539606361424180392e+00,3.364831676204111151e-08
1.541807371233221646e+00,3.373882431345965509e-08
1.544011527589523647e+00,3.395589674391657542e-08
1.546218834991367252e+00,3.431428219529064178e-08
1.548429297943463734e+00,3.451844571149047500e-08
1.550642920956964321e+00,3.459910489910807398e-08
1.552859708549469087e+00,3.494057622236145365e-08
1.555079665245036491e+00,3.510154174691447496e-08
1.557302795574193155e+00,3.534530556018033395e-08
1.559529104073942074e+00,3.562476281277983478e-08
1.561758595287772167e+00,3.576521608851109727e-08
1.563991273765667600e+00,3.596411096496809632e-08
1.566227144064117560e+00,3.620707883252499302e-08
1.568466210746124911e+00,3.643753125933553929e-08
1.570708478381215967e+00,3.671548350340353900e-08
1.572953951545449369e+00,3.696062636210863218e-08
1.575202634821425862e+00,3.725314754455641638e-08
1.577454532798297393e+00,3.747306024163032282e-08
1.579709650071775995e+00,3.773937916410733596e-08
1.581967991244144667e+00,3.803037798886226299e-08
1.584229560924265146e+00,3.829905232636301986e-08
1.586494363727588119e+00,3.856128799752914152e-08
1.588762404276162332e+00,3.884230886444682985e-08
1.591033687198644575e+00,3.903510779015834711e-08
1.593308217130307902e+00,3.936315030936159319e-08
1.595585998713053399e+00,3.957412514688079809e-08
1.597867036595416623e+00,3.981789111580878102e-08
1.600151335432579591e+00,4.004104718843869130e-08
1.602438899886378998e+00,4.014794211435254943e-08
1.604729734625315984e+00,4.030899439002021682e-08
1.607023844324565687e+00,4.048161042944968751e-08
1.609321233665987672e+00,4.055076063330414110e-08
1.611621907338133486e+00,4.061437299295918292e-08
1.613925870036258203e+00,4.006827917432009998e-08
1.616233126462328862e+00,4.026281522685887405e-08
1.618543681325034456e+00,4.034077054281668667e-08
1.620857539339795039e+00,3.962538255672083700e-08
1.623174705228772829e+00,3.939266496240721851e-08
1.625495183720879755e+00,4.030486049705587176e-08
