wavelength_um, flux_erg/cm2/s/hz
1.500521154650225064e+00,1.666684104463172231e-07
1.502666288538216932e+00,1.557811766751767521e-07
1.504814489093668328e+00,1.730193693559618217e-07
1.506965760700664347e+00,1.730248691264431763e-07
1.509120107749557516e+00,1.796567627314446497e-07
1.511277534636976450e+00,1.797661345257760940e-07
1.513438045765835849e+00,1.775611117457421963e-07
1.515601645545344045e+00,1.900983960585306845e-07
1.517768338391013216e+00,1.840988731926519815e-07
1.519938128724667159e+00,1.876412322346320972e-07
1.522111020974452389e+00,1.886233256354518151e-07
1.524287019574844804e+00,1.936538886002570041e-07
1.526466128966660118e+00,1.921472079629371934e-07
1.528648353597062970e+00,1.958971717364693747e-07
1.530833697919575132e+00,1.970989637998519763e-07
1.533022166394085062e+00,1.996404204168823738e-07
1.535213763486857452e+00,2.045847234424889293e-07
1.537408493670541443e+00,2.009786951180077779e-07
1.539606361424180392e+00,2.091404055239490564e-07
1.541807371233221646e+00,2.082691135748268758e-07
1.544011527589523647e+00,2.087614698205277838e-07
1.546218834991367252e+00,2.143292964192322883e-07
1.548429297943463734e+00,2.145668378351973915e-07
1.550642920956964321e+00,2.138292507968392658e-07
1.552859708549469087e+00,2.173065588217264744e-07
1.555079665245036491e+00,2.180970204737763553e-07
1.557302795574193155e+00,2.191173175364012438e-07
1.559529104073942074e+00,2.224330790843686764e-07
1.561758595287772167e+00,2.229597099178306965e-07
1.563991273765667600e+00,2.235404784234599230e-07
1.566227144064117560e+00,2.254659057497319581e-07
1.568466210746124911e+00,2.270047874784339955e-07
1.570708478381215967e+00,2.284510767716052421e-07
1.572953951545449369e+00,2.291086106322100709e-07
1.575202634821425862e+00,2.312079306593874346e-07
1.577454532798297393e+00,2.317461309152922201e-07
1.579709650071775995e+00,2.326130385426526093e-07
1.581967991244144667e+00,2.348518214512359214e-07
1.584229560924265146e+00,2.358160404128720603e-07
1.586494363727588119e+00,2.366792699300466439e-07
1.588762404276162332e+00,2.379058042507147545e-07
1.591033687198644575e+00,2.376376096639477398e-07
1.593308217130307902e+00,2.392873933453477073e-07
1.595585998713053399e+00,2.390565963111035661e-07
1.597867036595416623e+00,2.396016241554799546e-07
1.600151335432579591e+00,2.395362508913243417e-07
1.602438899886378998e+00,2.379598542464222870e-07
1.604729734625315984e+00,2.370972810808582770e-07
1.607023844324565687e+00,2.367142763095258037e-07
1.609321233665987672e+00,2.349763047482528816e-07
1.611621907338133486e+00,2.342299888191848960e-07
1.613925870036258203e+00,2.266331985121078006e-07
1.616233126462328862e+00,2.263888212824502457e-07
1.618543681325034456e+00,2.242453209320499122e-07
1.620857539339795039e+00,2.165291893375389934e-07
1.623174705228772829e+00,2.142902492544745832e-07
1.625495183720879755e+00,2.198338944708755888e-07
1.627818979551789003e+00,2.167506919052034086e-07
1.630146097463943455e+00,2.127229834650781135e-07
1.632476542206565240e+00,2.210861708709921012e-07
1.634810318535667051e+00,2.248724761482326018e-07
1.637147431214059923e+00,2.192470928945875944e-07
1.639487885011364110e+00,2.251010127911269883e-07
1.641831684704017968e+00,2.283007810448853350e-07
1.644178835075289058e+00,2.405383175494680939e-07
1.646529340915282358e+00,2.366754250935876644e-07
1.648883207020951369e+00,2.393627619795625319e-07
1.651240438196106552e+00,2.446003547075528460e-07
1.653601039251426430e+00,2.492729725638949685e-07
1.655965015004466245e+00,2.396556498411666181e-07
1.658332370279669510e+00,2.442505773631886782e-07
1.660703109908375552e+00,2.524816300129894935e-07
