wavelength_um, flux_erg/cm2/s/hz
1.500521154650225064e+00,4.911190579959026408e-08
1.502666288538216932e+00,4.712379194284444565e-08
1.504814489093668328e+00,5.054536048124830958e-08
1.506965760700664347e+00,5.065466792321003052e-08
1.509120107749557516e+00,5.227531752272681070e-08
1.511277534636976450e+00,5.255843309096844233e-08
1.513438045765835849e+00,5.224334156106353958e-08
1.515601645545344045e+00,5.458459453800278850e-08
1.517768338391013216e+00,5.394132497646353597e-08
1.519938128724667159e+00,5.441116896311676517e-08
1.522111020974452389e+00,5.482354150556279577e-08
1.524287019574844804e+00,5.597263985480691149e-08
1.526466128966660118e+00,5.583482649657274850e-08
1.528648353597062970e+00,5.653851424566848435e-08
1.530833697919575132e+00,5.696592438807401210e-08
1.533022166394085062e+00,5.784618240947762953e-08
1.535213763486857452e+00,5.870473607596541249e-08
1.537408493670541443e+00,5.832145237782337566e-08
1.539606361424180392e+00,5.987572674485577141e-08
1.541807371233221646e+00,6.001438016036385029e-08
1.544011527589523647e+00,6.041288559673077342e-08
1.546218834991367252e+00,6.140662268794096305e-08
1.548429297943463734e+00,6.179431111462260991e-08
1.550642920956964321e+00,6.189830252413132174e-08
1.552859708549469087e+00,6.271456925194461750e-08
1.555079665245036491e+00,6.302038128278272719e-08
1.557302795574193155e+00,6.350031232756214585e-08
1.559529104073942074e+00,6.417967845144699420e-08
1.561758595287772167e+00,6.443551218054090242e-08
1.563991273765667600e+00,6.480027853458503254e-08
1.566227144064117560e+00,6.532789188661305258e-08
1.568466210746124911e+00,6.569650621734148487e-08
1.570708478381215967e+00,6.609722553689470075e-08
1.572953951545449369e+00,6.638690436812531651e-08
1.575202634821425862e+00,6.684337210786951136e-08
1.577454532798297393e+00,6.707911550664900689e-08
1.579709650071775995e+00,6.741500550433331990e-08
1.581967991244144667e+00,6.788233990967580902e-08
1.584229560924265146e+00,6.822729473883231056e-08
1.586494363727588119e+00,6.856714964718916091e-08
1.588762404276162332e+00,6.896213854879583947e-08
1.591033687198644575e+00,6.911395899597543166e-08
1.593308217130307902e+00,6.960800957445421432e-08
1.595585998713053399e+00,6.978359716406049333e-08
1.597867036595416623e+00,7.007325041341813540e-08
1.600151335432579591e+00,7.027401318255674154e-08
1.602438899886378998e+00,7.018743895117942578e-08
1.604729734625315984e+00,7.025508482658243830e-08
1.607023844324565687e+00,7.040230718103083217e-08
1.609321233665987672e+00,7.029133277602927607e-08
1.611621907338133486e+00,7.028318123953904100e-08
1.613925870036258203e+00,6.878960747611831783e-08
1.616233126462328862e+00,6.898788168490534920e-08
1.618543681325034456e+00,6.882239178667324181e-08
1.620857539339795039e+00,6.709653472587826353e-08
1.623174705228772829e+00,6.655241539749414836e-08
1.625495183720879755e+00,6.823227450223246281e-08
1.627818979551789003e+00,6.744638074200335916e-08
1.630146097463943455e+00,6.667995662565380390e-08
1.632476542206565240e+00,6.918742372839744177e-08
1.634810318535667051e+00,7.009180693053532224e-08
1.637147431214059923e+00,6.853596515083940672e-08
1.639487885011364110e+00,7.026554208373245758e-08
1.641831684704017968e+00,7.117917350089241442e-08
1.644178835075289058e+00,7.472909346759617428e-08
1.646529340915282358e+00,7.405367634692735603e-08
1.648883207020951369e+00,7.469855564859667241e-08
1.651240438196106552e+00,7.603676082473654940e-08
1.653601039251426430e+00,7.740983738262927408e-08
1.655965015004466245e+00,7.510769301980533565e-08
1.658332370279669510e+00,7.657980944185192799e-08
1.660703109908375552e+00,7.875726968147598172e-08
1.663077238728830842e+00,7.909367423284699016e-08
1.665454761586198762e+00,6.773329404906905159e-08
1.667835683332569374e+00,6.452743532430470466e-08
1.670220008826969416e+00,7.180059781830151302e-08
1.672607742935371178e+00,7.327255004290397163e-08
1.674998890530704054e+00,7.605743604787988472e-08
1.677393456492863866e+00,7.837450354113756881e-08
1.679791445708722186e+00,8.006092548783444871e-08
1.682192863072137001e+00,8.083149207561475262e-08
1.684597713483963144e+00,7.838423410580288292e-08
1.687006001852060511e+00,7.966203613798922469e-08
1.689417733091306051e+00,8.097465505965458629e-08
1.691832912123602428e+00,7.986478961321295287e-08
1.694251543877889343e+00,7.838838430067557689e-08
1.696673633290152416e+00,7.979656037189389364e-08
1.699099185303433845e+00,7.977562556185541861e-08
1.701528204867841954e+00,7.828542171796480083e-08
1.703960696940562514e+00,8.002426002583327994e-08
1.706396666485867186e+00,8.435515987411170156e-08
1.708836118475125287e+00,8.471199306935299197e-08
1.711279057886812671e+00,8.437726441325439804e-08
1.713725489706522387e+00,8.411680717032415058e-08
1.716175418926974894e+00,8.474765032924821802e-08
1.718628850548028719e+00,8.709903349499470399e-08
1.721085789576689340e+00,8.935407299437050724e-08
1.723546241027120951e+00,8.738879256099434381e-08
1.726010209920655125e+00,8.798716361742075280e-08
1.728477701285803025e+00,8.924044229369158721e-08
1.730948720158263177e+00,8.774145978409713076e-08
1.733423271580934344e+00,8.785777594966858730e-08
1.735901360603923749e+00,8.735840465762726492e-08
1.738382992284558615e+00,9.069365240690082347e-08
1.740868171687395716e+00,8.763754216425332032e-08
1.743356903884232700e+00,9.209868477561641140e-08
1.745849193954117418e+00,8.902880565714948524e-08
1.748345046983358575e+00,9.155349282598428172e-08
1.750844468065536841e+00,9.283008709447510624e-08
1.753347462301513504e+00,9.131127901018531555e-08
1.755854034799443131e+00,8.656524406963123639e-08
1.758364190674782002e+00,8.664193810007949966e-08
1.760877935050299881e+00,9.349445229203279506e-08
1.763395273056090229e+00,8.542884121400382287e-08
1.765916209829580197e+00,9.151909339734493598e-08
1.768440750515541060e+00,8.494890340889509086e-08
1.770968900266099766e+00,8.993616771179318114e-08
1.773500664240747593e+00,8.374465431464939557e-08
1.776036047606353030e+00,8.186474311072924856e-08
1.778575055537169769e+00,8.608518496863120913e-08
1.781117693214850028e+00,8.621516788796112106e-08
1.783663965828452547e+00,8.220230286412064000e-08
1.786213878574454572e+00,7.858879988437534957e-08
