wavelength_um, flux_erg/cm2/s/hz
1.500521154650225064e+00,5.493824030654225832e-08
1.502666288538216932e+00,5.264907273403275034e-08
1.504814489093668328e+00,5.654623295965416014e-08
1.506965760700664347e+00,5.665681262451474040e-08
1.509120107749557516e+00,5.847647942269973284e-08
1.511277534636976450e+00,5.877445182892346447e-08
1.513438045765835849e+00,5.841876222187137885e-08
1.515601645545344045e+00,6.104881081847895565e-08
1.517768338391013216e+00,6.030802529497755411e-08
1.519938128724667159e+00,6.082862034178762070e-08
1.522111020974452389e+00,6.127915415778491869e-08
1.524287019574844804e+00,6.255931337709695887e-08
1.526466128966660118e+00,6.239457382546220446e-08
1.528648353597062970e+00,6.317110349787834980e-08
1.530833697919575132e+00,6.364013937943110276e-08
1.533022166394085062e+00,6.462894848076684739e-08
1.535213763486857452e+00,6.557897380886400396e-08
1.537408493670541443e+00,6.513592714038302697e-08
1.539606361424180392e+00,6.687013522218315033e-08
1.541807371233221646e+00,6.701636049180591589e-08
1.544011527589523647e+00,6.744911665751589767e-08
1.546218834991367252e+00,6.854340162854100283e-08
1.548429297943463734e+00,6.896907645197902871e-08
1.550642920956964321e+00,6.907149366646450029e-08
1.552859708549469087e+00,6.997233887283696694e-08
1.555079665245036491e+00,7.029631135426939886e-08
1.557302795574193155e+00,7.082709942802151563e-08
1.559529104073942074e+00,7.156725659640141422e-08
1.561758595287772167e+00,7.183671961921043586e-08
1.563991273765667600e+00,7.223415947688797122e-08
1.566227144064117560e+00,7.280771562337511284e-08
1.568466210746124911e+00,7.320015372943313565e-08
1.570708478381215967e+00,7.363323428407729787e-08
1.572953951545449369e+00,7.394396068590945734e-08
1.575202634821425862e+00,7.443359229242905151e-08
1.577454532798297393e+00,7.468246580422081769e-08
1.579709650071775995e+00,7.504455175153024099e-08
1.581967991244144667e+00,7.554694415562694179e-08
1.584229560924265146e+00,7.591792008265137684e-08
1.586494363727588119e+00,7.628489464142035514e-08
1.588762404276162332e+00,7.671278608807462950e-08
1.591033687198644575e+00,7.687300340372769337e-08
1.593308217130307902e+00,7.741034132408875106e-08
1.595585998713053399e+00,7.759628128671370668e-08
1.597867036595416623e+00,7.790883346320660059e-08
1.600151335432579591e+00,7.812218678691231162e-08
1.602438899886378998e+00,7.801726266494755890e-08
1.604729734625315984e+00,7.808379976922825783e-08
1.607023844324565687e+00,7.823892753303931921e-08
1.609321233665987672e+00,7.810521857520009668e-08
1.611621907338133486e+00,7.808766852513525872e-08
1.613925870036258203e+00,7.640184872916973144e-08
1.616233126462328862e+00,7.661342682294503357e-08
1.618543681325034456e+00,7.641241710732979484e-08
1.620857539339795039e+00,7.445970845697368537e-08
1.623174705228772829e+00,7.384134171708701432e-08
1.625495183720879755e+00,7.571463015302569475e-08
1.627818979551789003e+00,7.482071291101975461e-08
1.630146097463943455e+00,7.394402180507023393e-08
1.632476542206565240e+00,7.672975380948490665e-08
1.634810318535667051e+00,7.772438590948863905e-08
1.637147431214059923e+00,7.597182791884488498e-08
1.639487885011364110e+00,7.788290463714299297e-08
1.641831684704017968e+00,7.890491770542152641e-08
1.644178835075289058e+00,8.284265870322835172e-08
1.646529340915282358e+00,8.205813492642276693e-08
1.648883207020951369e+00,8.276967805677843422e-08
