wavelength_um, flux_erg/cm2/s/hz
9.995743794674951666e-01,4.513532587258396696e-09
1.001003363569664684e+00,4.555020048713403139e-09
1.002434390536883768e+00,4.609610870807997587e-09
1.003867463289616957e+00,4.659063445605297044e-09
1.005302584752504558e+00,4.719405317476476863e-09
1.006739757854366424e+00,4.773379375037877964e-09
1.008178985528211502e+00,4.833629168647989222e-09
1.009620270711239609e+00,4.890904643629494123e-09
1.011063616344851201e+00,4.944767446354855016e-09
1.012509025374650928e+00,5.004731994737500684e-09
1.013956500750454737e+00,5.063298927067016971e-09
1.015406045426295201e+00,5.124780002218001845e-09
1.016857662360428627e+00,5.183961879406932237e-09
1.018311354515339939e+00,5.242919085167795535e-09
1.019767124857749563e+00,5.301630886557543183e-09
1.021224976358618530e+00,5.364705765560125177e-09
1.022684911993155588e+00,5.426024308551304220e-09
1.024146934740822967e+00,5.489897621151862219e-09
1.025611047585341717e+00,5.552798707910423835e-09
1.027077253514699029e+00,5.615308033777390817e-09
1.028545555521153343e+00,5.682212371383095177e-09
1.030015956601240568e+00,5.746984987188652607e-09
1.031488459755781406e+00,5.810722262024578012e-09
1.032963067989885575e+00,5.877173735269590232e-09
1.034439784312958910e+00,5.945207484031254717e-09
1.035918611738710471e+00,6.011928117268289216e-09
1.037399553285156095e+00,6.080486374923437447e-09
1.038882611974627501e+00,6.148776834026405527e-09
1.040367790833776507e+00,6.214649401220326793e-09
1.041855092893581913e+00,6.274809316145628724e-09
1.043344521189355500e+00,6.334077696883440499e-09
1.044836078760748466e+00,6.395614030405588539e-09
1.046329768651757419e+00,6.457268210816109279e-09
1.047825593910730824e+00,6.518883730521261928e-09
1.049323557590374545e+00,6.579971539547083263e-09
1.050823662747758958e+00,6.644308231243240836e-09
1.052325912444324718e+00,6.706903530839980694e-09
1.053830309745889204e+00,6.771203541094797940e-09
1.055336857722652510e+00,6.833356715133442445e-09
1.056845559449203886e+00,6.899007342712624959e-09
1.058356418004528177e+00,6.962334697150594954e-09
1.059869436472011373e+00,7.029533935801337500e-09
1.061384617939448383e+00,7.104502870965135094e-09
1.062901965499047474e+00,7.185581504685501278e-09
1.064421482247437822e+00,7.275443419909756444e-09
1.065943171285675950e+00,7.367520239160824901e-09
1.067467035719250834e+00,7.457865442072701996e-09
1.068993078658091900e+00,7.546797990087055771e-09
1.070521303216573905e+00,7.639857922148113565e-09
1.072051712513524269e+00,7.733903656458197605e-09
1.073584309672228176e+00,7.830919527617727547e-09
1.075119097820437464e+00,7.910609151336921547e-09
1.076656080090373724e+00,8.021848833448588686e-09
1.078195259618737634e+00,8.109804035132296102e-09
1.079736639546712951e+00,8.208741333827416659e-09
1.081280223019974951e+00,8.301438113023249066e-09
1.082826013188695757e+00,8.387506785632864068e-09
1.084374013207550114e+00,8.469284207886815624e-09
1.085924226235723822e+00,8.540116970545665014e-09
1.087476655436918627e+00,8.628207091601768657e-09
1.089031303979358878e+00,8.706635874069880857e-09
1.090588175035798635e+00,8.792029500351703684e-09
1.092147271783526774e+00,8.827170300312396259e-09
1.093708597404375649e+00,8.905844787738566752e-09
1.095272155084725085e+00,8.956004832734505558e-09
1.096837948015511044e+00,9.052166762726701441e-09
1.098405979392230947e+00,9.114643474385733343e-09
1.099976252414950562e+00,9.103279548543021732e-09
1.101548770288309997e+00,8.962558517845151635e-09
1.103123536221531253e+00,9.355450596123194488e-09
1.104700553428424215e+00,9.314944380121668510e-09
1.106279825127392868e+00,9.067363301874900214e-09
1.107861354541442189e+00,9.125755223047496679e-09
1.109445144898185021e+00,9.412043159792071312e-09
1.111031199429848071e+00,8.717206538750338774e-09
1.112619521373279019e+00,9.439949996218300078e-09
1.114210113969952953e+00,9.285892782080702160e-09
1.115802980465978589e+00,8.908975819137226603e-09
1.117398124112106039e+00,9.572045652437693102e-09
1.118995548163731701e+00,9.511301254149377018e-09
1.120595255880906471e+00,9.865091874866119244e-09
1.122197250528341739e+00,9.740121424534154322e-09
1.123801535375415828e+00,1.016050453788507720e-08
1.125408113696181545e+00,1.014948457949587779e-08
1.127016988769371286e+00,1.062897104672966729e-08
1.128628163878405477e+00,1.049647411989138498e-08
1.130241642311398564e+00,1.028179839783795596e-08
1.131857427361164570e+00,1.014611992233722381e-08
1.133475522325226414e+00,9.660540354871575503e-09
1.135095930505820139e+00,9.395796946116243942e-09
1.136718655209902895e+00,1.045322085060666861e-08
1.138343699749159388e+00,1.156663100962547738e-08
1.139971067440008978e+00,1.150571011834370036e-08
1.141600761603611680e+00,1.177168897239947733e-08
1.143232785565875709e+00,1.122963938320259832e-08
1.144867142657463921e+00,1.119964045741733987e-08
1.146503836213800476e+00,1.202488734774364134e-08
1.148142869575078384e+00,1.182108994486323502e-08
1.149784246086265060e+00,1.213153944414276913e-08
1.151427969097110537e+00,1.224810551914821915e-08
1.153074041962153018e+00,1.158763531780262298e-08
1.154722468040726646e+00,1.224343484413892210e-08
1.156373250696967947e+00,1.191338579235607303e-08
1.158026393299822931e+00,1.270688329357935303e-08
1.159681899223053758e+00,1.182342290609402010e-08
1.161339771845245394e+00,1.284269529954053267e-08
1.163000014549813388e+00,1.270316974984570105e-08
1.164662630725009862e+00,1.267677846183745879e-08
1.166327623763930621e+00,1.297602705527473990e-08
1.167994997064522256e+00,1.319755617380024286e-08
1.169664754029589471e+00,1.308627192855779969e-08
1.171336898066801302e+00,1.357663898420969499e-08
1.173011432588698222e+00,1.374424722704898792e-08
1.174688361012699467e+00,1.373296514991162825e-08
1.176367686761109255e+00,1.399321713122806132e-08
1.178049413261125444e+00,1.428273232634359017e-08
1.179733543944844198e+00,1.458253292718047891e-08
1.181420082249268866e+00,1.489100289694211517e-08
1.183109031616315754e+00,1.494149853254608262e-08
1.184800395492822345e+00,1.510921675083351543e-08
1.186494177330553512e+00,1.541199177721598170e-08
1.188190380586208406e+00,1.564683537221037918e-08
1.189889008721427999e+00,1.582573900341806423e-08
1.191590065202802640e+00,1.594858419769614901e-08
1.193293553501877380e+00,1.621785011837572489e-08
1.194999477095161300e+00,1.631159751902234150e-08
1.196707839464132395e+00,1.656917004462321000e-08
1.198418644095246233e+00,1.669335331175302993e-08
1.200131894479943062e+00,1.694340799652893767e-08
1.201847594114653583e+00,1.700725814964213529e-08
1.203565746500807609e+00,1.728598322860215991e-08
1.205286355144840282e+00,1.753464809474708201e-08
1.207009423558199623e+00,1.765930550035178596e-08
1.208734955257353638e+00,1.776123875271348844e-08
1.210462953763797422e+00,1.798489083273685413e-08
1.212193422604060267e+00,1.806282791800854986e-08
1.213926365309713429e+00,1.820821260376140028e-08
1.215661785417375906e+00,1.834402352853521442e-08
1.217399686468723097e+00,1.849756045349912713e-08
1.219140072010493903e+00,1.857712197071918344e-08
1.220882945594497837e+00,1.876281786444676532e-08
1.222628310777620797e+00,1.888356447470637597e-08
1.224376171121834833e+00,1.894816922603543666e-08
1.226126530194203479e+00,1.919604080713799138e-08
1.227879391566889966e+00,1.934281646167623183e-08
1.229634758817164553e+00,1.946192909108493991e-08
1.231392635527410739e+00,1.966314119828823985e-08
1.233153025285134152e+00,1.981831516294615369e-08
1.234915931682968537e+00,1.996856354134785029e-08
1.236681358318684198e+00,2.010355552648241046e-08
1.238449308795194215e+00,2.030052759196836665e-08
1.240219786720562656e+00,2.041257306503195881e-08
1.241992795708011688e+00,2.063392930157904839e-08
1.243768339375928900e+00,2.081628848058361618e-08
1.245546421347874411e+00,2.105869875939057048e-08
1.247327045252589306e+00,2.126426841222449254e-08
1.249110214724001189e+00,2.147276696181319870e-08
1.250895933401233506e+00,2.169486053964877209e-08
1.252684204928612210e+00,2.191061147336602210e-08
1.254475032955672642e+00,2.209699288343424114e-08
1.256268421137167524e+00,2.234108000156308055e-08
1.258064373133074954e+00,2.257428310382009883e-08
1.259862892608604845e+00,2.277369384085983803e-08
1.261663983234206921e+00,2.297431684222559449e-08
1.263467648685578482e+00,2.314888862876451949e-08
1.265273892643670628e+00,2.336658678602423831e-08
1.267082718794698248e+00,2.354050478630966767e-08
1.268894130830144684e+00,2.375644440302761057e-08
1.270708132446771277e+00,2.395078448035264693e-08
1.272524727346623807e+00,2.413423683518018894e-08
1.274343919237040712e+00,2.432224932440826294e-08
1.276165711830660632e+00,2.457788818338898333e-08
1.277990108845429518e+00,2.475934562416054730e-08
1.279817114004607959e+00,2.476617732804758707e-08
1.281646731036780729e+00,2.516716191302494140e-08
1.283478963675861229e+00,2.537492726682424292e-08
1.285313815661102144e+00,2.552338567663828720e-08
1.287151290737100995e+00,2.572997892511243677e-08
1.288991392653809021e+00,2.589766865177997600e-08
1.290834125166537838e+00,2.623001430389633854e-08
1.292679492035968103e+00,2.607344198607947662e-08
1.294527497028157059e+00,2.666460777291193425e-08
1.296378143914544978e+00,2.650679144055722798e-08
1.298231436471963818e+00,2.712509157426875615e-08
1.300087378482645883e+00,2.718136495042060483e-08
1.301945973734229600e+00,2.733280652054992605e-08
1.303807226019768173e+00,2.730370240209945580e-08
1.305671139137738024e+00,2.790504914046251723e-08
1.307537716892045232e+00,2.758413162181221307e-08
1.309406963092033749e+00,2.804286583744747742e-08
1.311278881552494280e+00,2.852489205673697762e-08
1.313153476093670058e+00,2.833852860766903809e-08
1.315030750541266613e+00,2.858195460866722115e-08
1.316910708726457990e+00,2.915998615456238988e-08
1.318793354485895630e+00,2.912590154750351574e-08
1.320678691661715476e+00,2.956879807001868495e-08
1.322566724101546409e+00,2.972244765928200308e-08
1.324457455658518024e+00,2.903818923070021860e-08
1.326350890191267951e+00,2.962083504018848538e-08
1.328247031563950298e+00,3.048477584985892288e-08
1.330145883646243421e+00,3.004087143088851838e-08
1.332047450313357473e+00,2.789150976760610683e-08
1.333951735446043063e+00,2.947637189858286075e-08
1.335858742930597920e+00,2.731347815830306083e-08
1.337768476658876216e+00,2.372957526991032916e-08
1.339680940528295672e+00,2.207753884716528874e-08
1.341596138441845776e+00,2.507920584329141242e-08
1.343514074308095996e+00,2.417306838294351866e-08
1.345434752041202664e+00,2.226357903804676273e-08
1.347358175560918525e+00,1.857875664055242925e-08
1.349284348792599619e+00,2.292354024489906554e-08
1.351213275667213942e+00,1.809964273732245562e-08
1.353144960121348772e+00,2.135372461286070512e-08
1.355079406097219330e+00,1.518159429044631003e-08
1.357016617542676329e+00,1.900356715126174107e-08
1.358956598411215078e+00,1.847359629304593813e-08
1.360899352661981698e+00,2.011390336994055065e-08
1.362844884259783118e+00,2.305993445423879024e-08
1.364793197175093953e+00,1.866677787626577419e-08
