wavelength_um, flux_erg/cm2/s/hz
9.995743794674951666e-01,3.555219965537974904e-09
1.001003363569664684e+00,3.588354438333603969e-09
1.002434390536883768e+00,3.632113781645574156e-09
1.003867463289616957e+00,3.672115003771259505e-09
1.005302584752504558e+00,3.720156139674172599e-09
1.006739757854366424e+00,3.763693634832426461e-09
1.008178985528211502e+00,3.811848235723349097e-09
1.009620270711239609e+00,3.857814056440103154e-09
1.011063616344851201e+00,3.901214417223746797e-09
1.012509025374650928e+00,3.949285817690868357e-09
1.013956500750454737e+00,3.996376296694649827e-09
1.015406045426295201e+00,4.045668267313557352e-09
1.016857662360428627e+00,4.093640497751433266e-09
1.018311354515339939e+00,4.141719602040542819e-09
1.019767124857749563e+00,4.189654873463881147e-09
1.021224976358618530e+00,4.240822515196914458e-09
1.022684911993155588e+00,4.290907644116704051e-09
1.024146934740822967e+00,4.342884003692477833e-09
1.025611047585341717e+00,4.394223436244129944e-09
1.027077253514699029e+00,4.445294979646017483e-09
1.028545555521153343e+00,4.499747868073112666e-09
1.030015956601240568e+00,4.552676284943199920e-09
1.031488459755781406e+00,4.604746422085575878e-09
1.032963067989885575e+00,4.659079962500678073e-09
1.034439784312958910e+00,4.714616174096521924e-09
1.035918611738710471e+00,4.769265018568215043e-09
1.037399553285156095e+00,4.825308694005990536e-09
1.038882611974627501e+00,4.881258859640927973e-09
1.040367790833776507e+00,4.935182253794499366e-09
1.041855092893581913e+00,4.984244939004064439e-09
1.043344521189355500e+00,5.032743519977504098e-09
1.044836078760748466e+00,5.082993745556521818e-09
1.046329768651757419e+00,5.133383531182963937e-09
1.047825593910730824e+00,5.183798253025426003e-09
1.049323557590374545e+00,5.233814914828681195e-09
1.050823662747758958e+00,5.286371006280653479e-09
1.052325912444324718e+00,5.337566184112233028e-09
1.053830309745889204e+00,5.390218731245671501e-09
1.055336857722652510e+00,5.441196182163524527e-09
1.056845559449203886e+00,5.494923123950538222e-09
1.058356418004528177e+00,5.546997208223119010e-09
1.059869436472011373e+00,5.602000091912365143e-09
1.061384617939448383e+00,5.663195712240002786e-09
1.062901965499047474e+00,5.729455872621946430e-09
1.064421482247437822e+00,5.802655592411420392e-09
1.065943171285675950e+00,5.877625104716603073e-09
1.067467035719250834e+00,5.951344771038793469e-09
1.068993078658091900e+00,6.024007889800746329e-09
1.070521303216573905e+00,6.099947088428775261e-09
1.072051712513524269e+00,6.176704261823710258e-09
1.073584309672228176e+00,6.255668299550280972e-09
1.075119097820437464e+00,6.321242030262737922e-09
1.076656080090373724e+00,6.411730340693301441e-09
1.078195259618737634e+00,6.483870974462877059e-09
1.079736639546712951e+00,6.564753284517139680e-09
1.081280223019974951e+00,6.640867681869637509e-09
1.082826013188695757e+00,6.711794379986242447e-09
1.084374013207550114e+00,6.779386789361898054e-09
1.085924226235723822e+00,6.838527255081135493e-09
1.087476655436918627e+00,6.911312224144194468e-09
1.089031303979358878e+00,6.976826610428679924e-09
1.090588175035798635e+00,7.047668600105785535e-09
1.092147271783526774e+00,7.079473352585015091e-09
1.093708597404375649e+00,7.145647344268206642e-09
1.095272155084725085e+00,7.189130242738337787e-09
1.096837948015511044e+00,7.268951878765887376e-09
1.098405979392230947e+00,7.321116363744767777e-09
1.099976252414950562e+00,7.317345936078899070e-09
1.101548770288309997e+00,7.212392499164717691e-09
1.103123536221531253e+00,7.523801962120607013e-09
1.104700553428424215e+00,7.496941145418780448e-09
1.106279825127392868e+00,7.304689246025705798e-09
1.107861354541442189e+00,7.354850454669110128e-09
1.109445144898185021e+00,7.586484088802622839e-09
1.111031199429848071e+00,7.039838436315874491e-09
1.112619521373279019e+00,7.618953416426887438e-09
1.114210113969952953e+00,7.492316619512578728e-09
1.115802980465978589e+00,7.199002648924141261e-09
1.117398124112106039e+00,7.734475903425121123e-09
1.118995548163731701e+00,7.684823617492326220e-09
1.120595255880906471e+00,7.972600641291598594e-09
1.122197250528341739e+00,7.876730227230772545e-09
1.123801535375415828e+00,8.211528113201874840e-09
1.125408113696181545e+00,8.207745918968147954e-09
1.127016988769371286e+00,8.586748389019865845e-09
1.128628163878405477e+00,8.487940984671892294e-09
1.130241642311398564e+00,8.320016066439303495e-09
1.131857427361164570e+00,8.215758502320487815e-09
1.133475522325226414e+00,7.844337433208777682e-09
1.135095930505820139e+00,7.638847519941684241e-09
1.136718655209902895e+00,8.477197715264594712e-09
1.138343699749159388e+00,9.363769687289582129e-09
1.139971067440008978e+00,9.317581647002510153e-09
1.141600761603611680e+00,9.535784945062638594e-09
1.143232785565875709e+00,9.116498338084548884e-09
1.144867142657463921e+00,9.087233749089020838e-09
1.146503836213800476e+00,9.749915329171291020e-09
1.148142869575078384e+00,9.590372337161914287e-09
1.149784246086265060e+00,9.843530275739892284e-09
1.151427969097110537e+00,9.943943901157988228e-09
1.153074041962153018e+00,9.413892130835542399e-09
1.154722468040726646e+00,9.949207111685051243e-09
1.156373250696967947e+00,9.685065248940368887e-09
1.158026393299822931e+00,1.033024607518031789e-08
1.159681899223053758e+00,9.627868593877200560e-09
1.161339771845245394e+00,1.044588535919057421e-08
1.163000014549813388e+00,1.034119659558384440e-08
1.164662630725009862e+00,1.032340093327835577e-08
1.166327623763930621e+00,1.057250632250599585e-08
1.167994997064522256e+00,1.075360948015622113e-08
1.169664754029589471e+00,1.066992642752085513e-08
1.171336898066801302e+00,1.106254340342709984e-08
1.173011432588698222e+00,1.120102105438732438e-08
1.174688361012699467e+00,1.119414832785999407e-08
1.176367686761109255e+00,1.141216019964191152e-08
1.178049413261125444e+00,1.165230689300025962e-08
1.179733543944844198e+00,1.189085865243493601e-08
1.181420082249268866e+00,1.214032948169565507e-08
1.183109031616315754e+00,1.218786816484989527e-08
1.184800395492822345e+00,1.232540200594274539e-08
1.186494177330553512e+00,1.257327443178542844e-08
1.188190380586208406e+00,1.276465058419365378e-08
1.189889008721427999e+00,1.291387409615270548e-08
1.191590065202802640e+00,1.301827766122448638e-08
1.193293553501877380e+00,1.324023702709951142e-08
1.194999477095161300e+00,1.332136667114944577e-08
1.196707839464132395e+00,1.353463261180508208e-08
1.198418644095246233e+00,1.364030574530277621e-08
1.200131894479943062e+00,1.384826327126915417e-08
1.201847594114653583e+00,1.390443131398285312e-08
1.203565746500807609e+00,1.413658588967250925e-08
1.205286355144840282e+00,1.434183426083434011e-08
1.207009423558199623e+00,1.444923979598230226e-08
1.208734955257353638e+00,1.453665855720313270e-08
1.210462953763797422e+00,1.472193484536769525e-08
1.212193422604060267e+00,1.479160488958189427e-08
1.213926365309713429e+00,1.491408131066300149e-08
1.215661785417375906e+00,1.502979177552322876e-08
1.217399686468723097e+00,1.515957868847857956e-08
1.219140072010493903e+00,1.522961878084544076e-08
1.220882945594497837e+00,1.538599203158005216e-08
1.222628310777620797e+00,1.548966793056015473e-08
1.224376171121834833e+00,1.554750767739275174e-08
1.226126530194203479e+00,1.575333639220920292e-08
1.227879391566889966e+00,1.587722142464194033e-08
1.229634758817164553e+00,1.597918486829666328e-08
1.231392635527410739e+00,1.614745873139102571e-08
1.233153025285134152e+00,1.627831404322168859e-08
1.234915931682968537e+00,1.640541132236171025e-08
1.236681358318684198e+00,1.652055217840548631e-08
1.238449308795194215e+00,1.668524196840968908e-08
1.240219786720562656e+00,1.678196295260901526e-08
1.241992795708011688e+00,1.696708001659839942e-08
1.243768339375928900e+00,1.712118659081323435e-08
1.245546421347874411e+00,1.732407182267576339e-08
1.247327045252589306e+00,1.749703148875868121e-08
1.249110214724001189e+00,1.767269012818411570e-08
1.250895933401233506e+00,1.785930361129349572e-08
1.252684204928612210e+00,1.804069275911054382e-08
1.254475032955672642e+00,1.819928019973909039e-08
1.256268421137167524e+00,1.840397965525165541e-08
1.258064373133074954e+00,1.860010800265147366e-08
1.259862892608604845e+00,1.876977216097735640e-08
1.261663983234206921e+00,1.894155030373644999e-08
1.263467648685578482e+00,1.909261049696846335e-08
1.265273892643670628e+00,1.927828277852357868e-08
1.267082718794698248e+00,1.942874880873703646e-08
1.268894130830144684e+00,1.961364216115858744e-08
1.270708132446771277e+00,1.978090190038912602e-08
1.272524727346623807e+00,1.993917546306439257e-08
1.274343919237040712e+00,2.010201458571222339e-08
1.276165711830660632e+00,2.031873459216344268e-08
