wavelength_um, flux_erg/cm2/s/cm
9.984684664945664423e+00,1.188447427102576447e+10
9.951457760902583161e+00,1.199988366353730202e+10
9.918341428919545066e+00,1.187460517212670708e+10
9.885335301036285216e+00,1.152233576813325882e+10
9.852439010517029416e+00,1.222727993742620277e+10
9.819652191846424572e+00,1.217781620869792175e+10
9.786974480725472603e+00,1.268512818435030365e+10
9.754405514067482130e+00,1.268984768156034088e+10
9.721944929994046802e+00,1.281945864323266792e+10
9.689592367831005859e+00,1.293971322598782921e+10
9.657347468104447330e+00,1.296570957307540321e+10
9.625209872536711231e+00,1.303306631422233582e+10
9.593179224042414077e+00,1.324352680503069305e+10
9.561255166724468069e+00,1.351189599061281013e+10
9.529437345870142906e+00,1.367795873757354736e+10
9.497725407947113396e+00,1.361186307916950226e+10
9.466119000599535482e+00,1.378655001814033890e+10
9.434617772644131151e+00,1.363215079008645821e+10
9.403221374066280447e+00,1.390197065649653244e+10
9.371929456016141913e+00,1.417063966916199493e+10
9.340741670804776575e+00,1.461129937046826744e+10
9.309657671900266607e+00,1.459787466272890663e+10
9.278677113923894382e+00,1.473224936439996338e+10
9.247799652646277124e+00,1.496599202516456032e+10
9.217024944983560175e+00,1.520908510820726585e+10
9.186352648993601377e+00,1.529223704162259102e+10
9.155782423872159015e+00,1.521962965065111542e+10
9.125313929949122382e+00,1.566911425219066811e+10
9.094946828684733475e+00,1.561036480272005844e+10
9.064680782665815784e+00,1.577956284591614914e+10
9.034515455602036837e+00,1.544823360694926262e+10
9.004450512322161870e+00,1.621410075602728081e+10
8.974485618770339457e+00,1.592962579432993126e+10
8.944620442002385374e+00,1.609427020269528008e+10
8.914854650182078899e+00,1.627939544986289787e+10
8.885187912577478642e+00,1.650837086177905083e+10
8.855619899557254371e+00,1.670711987019822502e+10
8.826150282587015283e+00,1.646722484607601357e+10
8.796778734225661367e+00,1.595706966720652008e+10
8.767504928121747199e+00,1.654947584057452202e+10
8.738328539009863505e+00,1.683891840425502205e+10
8.709249242707002736e+00,1.645430670655036926e+10
8.680266716108974379e+00,1.622878692831647491e+10
8.651380637186814937e+00,1.676301253905477524e+10
8.622590684983197917e+00,1.585798296721790314e+10
8.593896539608877561e+00,1.670343152851747894e+10
8.565297882239132576e+00,1.584714727912749672e+10
8.536794395110215206e+00,1.586055880639226151e+10
8.508385761515841139e+00,1.537791753872683907e+10
8.480071665803642134e+00,1.602727608618579674e+10
8.451851793371682575e+00,1.522671669346161079e+10
8.423725830664954728e+00,1.526076704343803978e+10
8.395693465171893521e+00,1.515910264805339813e+10
8.367754385420905550e+00,1.458645349059536362e+10
8.339908280976908728e+00,1.479657847677813721e+10
8.312154842437884383e+00,1.462094620256416702e+10
8.284493761431434677e+00,1.632735220468419266e+10
8.256924730611363117e+00,1.391936643494460487e+10
8.229447443654253291e+00,1.543586051787480164e+10
8.202061595256070703e+00,1.362848448122173119e+10
8.174766881128764595e+00,1.367755386759057045e+10
8.147562997996887546e+00,1.449527757114561272e+10
8.120449643594234601e+00,1.500098780426960373e+10
8.093426516660478853e+00,1.463778347219566727e+10
8.066493316937812352e+00,1.473198601591928291e+10
8.039649745167636752e+00,1.422401170126464844e+10
8.012895503087213100e+00,1.376898036104659462e+10
7.986230293426357818e+00,1.598550311217125320e+10
7.959653819904140448e+00,1.511819660555783272e+10
7.933165787225590293e+00,1.390529138199366760e+10
7.906765901078417258e+00,1.335331886650088692e+10
7.880453868129736250e+00,1.325463407831008339e+10
7.854229396022815557e+00,1.369158637896959496e+10
7.828092193373821672e+00,1.324527655690036392e+10
7.802041969768583662e+00,1.218357252877859879e+10
7.776078435759370855e+00,1.228951877649410629e+10
7.750201302861670527e+00,1.080843005472547913e+10
7.724410283550982470e+00,1.108456006438680649e+10
7.698705091259631317e+00,1.057980623575960922e+10
7.673085440373576205e+00,1.077805377330586624e+10
7.647551046229237315e+00,1.711915883654996300e+10
7.622101625110339285e+00,1.809726446086721802e+10
7.596736894244746630e+00,1.601180041468176270e+10
7.571456571801338242e+00,1.669718648205620193e+10
7.546260376886857912e+00,1.576590104501290703e+10
7.521148029542807478e+00,1.686641149895262146e+10
7.496119250742332873e+00,1.592839329055630875e+10
7.471173762387119055e+00,1.220954304225595665e+10
7.446311287304299142e+00,1.442637970433495140e+10
7.421531549243385761e+00,1.415368627433907318e+10
7.396834272873192617e+00,1.566103351594700241e+10
7.372219183778772056e+00,1.424411321959422302e+10
7.347686008458377493e+00,1.414844816659923172e+10
7.323234474320412524e+00,1.636970093469057655e+10
7.298864309680411111e+00,1.529887584872813988e+10
7.274575243758015120e+00,1.627825332525932121e+10
7.250367006673959835e+00,1.624723623853864670e+10
7.226239329447092352e+00,1.766319731626623917e+10
7.202191943991361534e+00,1.790397681483761597e+10
7.178224583112855051e+00,1.857596433911107635e+10
7.154336980506822208e+00,1.818061275618802643e+10
7.130528870754718973e+00,2.111446174214743042e+10
7.106799989321260114e+00,2.105885192488394928e+10
7.083150072551472221e+00,2.231340741508193970e+10
7.059578857667773377e+00,2.127800120467250443e+10
7.036086082767048389e+00,2.184783461465744400e+10
7.012671486817740885e+00,2.301106517134511566e+10
6.989334809656949865e+00,2.627907696377961731e+10
6.966075791987543120e+00,2.196316298240465546e+10
6.942894175375271537e+00,2.718622487984981918e+10
6.919789702245902951e+00,2.918205843567352676e+10
6.896762115882355992e+00,2.821260565033628082e+10
6.873811160421849031e+00,2.070057662251135635e+10
6.850936580853058011e+00,2.346383262205751419e+10
6.828138123013279603e+00,2.137526997609404373e+10
6.805415533585614796e+00,2.480593934733872604e+10
6.782768560096145372e+00,2.189165527623716354e+10
6.760196950911133484e+00,2.752742085286421967e+10
6.737700455234225672e+00,2.771441598821170425e+10
6.715278823103662198e+00,2.144510857976160049e+10
6.692931805389507716e+00,2.838554963764825058e+10
6.670659153790873042e+00,2.737254749614810944e+10
6.648460620833166246e+00,2.555015221599965286e+10
6.626335959865335745e+00,1.592981527710185623e+10
6.604284925057132050e+00,2.246816616268005371e+10
6.582307271396376613e+00,2.198128369597687149e+10
6.560402754686239568e+00,2.522724978532062912e+10
6.538571131542524562e+00,2.715960908337143707e+10
6.516812159390967807e+00,2.580519058209748459e+10
6.495125596464542461e+00,2.379146630693676376e+10
6.473511201800766557e+00,2.418463273586304092e+10
6.451968735239034025e+00,3.089788672487492371e+10
6.430497957417939503e+00,2.972169563574204636e+10
6.409098629772621791e+00,2.763569221961725235e+10
6.387770514532114419e+00,3.797198768952801514e+10
6.366513374716698870e+00,3.834255344603469086e+10
6.345326974135279130e+00,3.753555589850370789e+10
6.324211077382749124e+00,4.413581961615582275e+10
6.303165449837382361e+00,4.653223560749836731e+10
6.282189857658223353e+00,4.361890727114778137e+10
6.261284067782488805e+00,4.423741622183848572e+10
6.240447847922979463e+00,4.208531068852935791e+10
6.219680966565498181e+00,4.304014182382943726e+10
