wavelength_um, flux_erg/cm2/s/hz
1.500521154650225064e+00,2.106157864674492761e-08
1.502666288538216932e+00,2.062656937401509554e-08
1.504814489093668328e+00,2.166325984715226640e-08
1.506965760700664347e+00,2.176494491247132002e-08
1.509120107749557516e+00,2.235770653296162027e-08
1.511277534636976450e+00,2.255143171162318946e-08
1.513438045765835849e+00,2.251508201177687456e-08
1.515601645545344045e+00,2.322470942350040091e-08
1.517768338391013216e+00,2.318387226692545287e-08
1.519938128724667159e+00,2.332572649713144391e-08
1.522111020974452389e+00,2.353733147411527769e-08
1.524287019574844804e+00,2.397194693247261852e-08
1.526466128966660118e+00,2.400685356135520455e-08
1.528648353597062970e+00,2.427417097624345661e-08
1.530833697919575132e+00,2.451395667965897173e-08
1.533022166394085062e+00,2.488766886022686941e-08
1.535213763486857452e+00,2.518518196350218937e-08
1.537408493670541443e+00,2.520196164951186894e-08
1.539606361424180392e+00,2.567218852087407685e-08
1.541807371233221646e+00,2.577307483143753776e-08
1.544011527589523647e+00,2.596937541227342107e-08
1.546218834991367252e+00,2.625384705815223527e-08
1.548429297943463734e+00,2.643903854044125065e-08
1.550642920956964321e+00,2.653450745765854603e-08
1.552859708549469087e+00,2.681397317618586637e-08
1.555079665245036491e+00,2.696657993957825896e-08
1.557302795574193155e+00,2.717883140763789187e-08
1.559529104073942074e+00,2.741452413383022772e-08
1.561758595287772167e+00,2.755293218598918519e-08
1.563991273765667600e+00,2.773435503833017256e-08
1.566227144064117560e+00,2.794564130447829037e-08
1.568466210746124911e+00,2.814485685296422465e-08
1.570708478381215967e+00,2.837608219620009954e-08
1.572953951545449369e+00,2.858399211399428017e-08
1.575202634821425862e+00,2.882607370240649489e-08
1.577454532798297393e+00,2.901598469736901969e-08
1.579709650071775995e+00,2.924030505833019969e-08
1.581967991244144667e+00,2.948122286568366551e-08
1.584229560924265146e+00,2.970628059557550840e-08
1.586494363727588119e+00,2.992168966110495865e-08
1.588762404276162332e+00,3.015051707031264635e-08
1.591033687198644575e+00,3.031504053884921756e-08
1.593308217130307902e+00,3.057895368292264997e-08
1.595585998713053399e+00,3.075783063624333425e-08
1.597867036595416623e+00,3.095967546875910359e-08
1.600151335432579591e+00,3.114849634472586725e-08
1.602438899886378998e+00,3.125282448468220388e-08
1.604729734625315984e+00,3.139908696651729720e-08
1.607023844324565687e+00,3.155948161574605088e-08
1.609321233665987672e+00,3.164544356874984332e-08
1.611621907338133486e+00,3.172051905915701148e-08
1.613925870036258203e+00,3.135668492414364973e-08
1.616233126462328862e+00,3.153300540702209530e-08
1.618543681325034456e+00,3.163318795487927270e-08
1.620857539339795039e+00,3.114062036408112333e-08
1.623174705228772829e+00,3.099152074149003115e-08
1.625495183720879755e+00,3.169992186524400070e-08
1.627818979551789003e+00,3.144328401620303578e-08
1.630146097463943455e+00,3.121719297865537144e-08
1.632476542206565240e+00,3.223976753195023481e-08
1.634810318535667051e+00,3.249274290992506650e-08
1.637147431214059923e+00,3.184830349636326156e-08
1.639487885011364110e+00,3.254024876947602172e-08
1.641831684704017968e+00,3.280561236003024727e-08
1.644178835075289058e+00,3.424656564874913108e-08
1.646529340915282358e+00,3.412809964602952886e-08
1.648883207020951369e+00,3.438059966205540061e-08
1.651240438196106552e+00,3.490326254083437071e-08
1.653601039251426430e+00,3.548448708097620586e-08
1.655965015004466245e+00,3.478068590285791202e-08
1.658332370279669510e+00,3.543802964177732487e-08
1.660703109908375552e+00,3.624673771116353460e-08
1.663077238728830842e+00,3.649616855293141360e-08
1.665454761586198762e+00,3.231541743403398158e-08
1.667835683332569374e+00,3.141375106050719239e-08
1.670220008826969416e+00,3.456988909587659125e-08
1.672607742935371178e+00,3.520537224690867746e-08
1.674998890530704054e+00,3.618737269347352154e-08
1.677393456492863866e+00,3.715462426133953216e-08
1.679791445708722186e+00,3.776283985379516566e-08
1.682192863072137001e+00,3.805954938241125825e-08
1.684597713483963144e+00,3.724456811055810352e-08
1.687006001852060511e+00,3.792201169595425213e-08
1.689417733091306051e+00,3.856058772332256210e-08
1.691832912123602428e+00,3.829789830165545532e-08
1.694251543877889343e+00,3.782808515325177553e-08
1.696673633290152416e+00,3.860620722429492484e-08
1.699099185303433845e+00,3.862451166430970590e-08
1.701528204867841954e+00,3.811693699198978103e-08
1.703960696940562514e+00,3.882418360794340523e-08
1.706396666485867186e+00,4.048880525157624998e-08
1.708836118475125287e+00,4.068148535436140622e-08
1.711279057886812671e+00,4.070051164966873299e-08
1.713725489706522387e+00,4.078427449258499378e-08
1.716175418926974894e+00,4.102895906473331492e-08
1.718628850548028719e+00,4.203299631294419246e-08
1.721085789576689340e+00,4.279707352427469830e-08
1.723546241027120951e+00,4.228272392670672235e-08
1.726010209920655125e+00,4.253579513454697036e-08
1.728477701285803025e+00,4.310424188599703270e-08
1.730948720158263177e+00,4.272568624954658092e-08
1.733423271580934344e+00,4.286767938236913244e-08
1.735901360603923749e+00,4.291391639390948518e-08
1.738382992284558615e+00,4.414605907674659742e-08
1.740868171687395716e+00,4.332355773422832776e-08
1.743356903884232700e+00,4.490967424099087753e-08
1.745849193954117418e+00,4.413628566851373961e-08
1.748345046983358575e+00,4.509253644622726975e-08
1.750844468065536841e+00,4.584103320785061634e-08
1.753347462301513504e+00,4.543169204620320597e-08
1.755854034799443131e+00,4.400714995434987376e-08
1.758364190674782002e+00,4.410502643476276025e-08
1.760877935050299881e+00,4.653913049747399648e-08
