wavelength_um,flux_erg/cm2/s/hz
1.500521154650225064e+00,3.298290876594050971e-08
1.502666288538216932e+00,3.215140366758889223e-08
1.504814489093668328e+00,3.393507709977680903e-08
1.506965760700664347e+00,3.405710668188885842e-08
1.509120107749557516e+00,3.501500341246870611e-08
1.511277534636976450e+00,3.527925470273430300e-08
1.513438045765835849e+00,3.519218675143645956e-08
1.515601645545344045e+00,3.634995140788616689e-08
1.517768338391013216e+00,3.622170477864711688e-08
1.519938128724667159e+00,3.643936423883629508e-08
1.522111020974452389e+00,3.673912184689112001e-08
1.524287019574844804e+00,3.742171275874378159e-08
1.526466128966660118e+00,3.743889491274178082e-08
1.528648353597062970e+00,3.784341014660867298e-08
1.530833697919575132e+00,3.819169691409131270e-08
1.533022166394085062e+00,3.878241655253006332e-08
1.535213763486857452e+00,3.923515264413710608e-08
1.537408493670541443e+00,3.921534443174361323e-08
1.539606361424180392e+00,3.993626474385915862e-08
1.541807371233221646e+00,4.004116131568406685e-08
1.544011527589523647e+00,4.029103805511328941e-08
1.546218834991367252e+00,4.068795275276089804e-08
1.548429297943463734e+00,4.092547033121408415e-08
1.550642920956964321e+00,4.101646378377906802e-08
1.552859708549469087e+00,4.140425585327602007e-08
1.555079665245036491e+00,4.158355657256678455e-08
1.557302795574193155e+00,4.186693013582901672e-08
1.559529104073942074e+00,4.217594240931238092e-08
1.561758595287772167e+00,4.233220263772742968e-08
1.563991273765667600e+00,4.256177697285742405e-08
1.566227144064117560e+00,4.283506450214459656e-08
1.568466210746124911e+00,4.309374676516211123e-08
1.570708478381215967e+00,4.341049984537443675e-08
1.572953951545449369e+00,4.369343267496398597e-08
1.575202634821425862e+00,4.402235110307844842e-08
1.577454532798297393e+00,4.427437785877312930e-08
1.579709650071775995e+00,4.458118487910523411e-08
1.581967991244144667e+00,4.490686671020167332e-08
1.584229560924265146e+00,4.521528373328608302e-08
1.586494363727588119e+00,4.551508524426500376e-08
1.588762404276162332e+00,4.583455916763066728e-08
1.591033687198644575e+00,4.605749867185990971e-08
1.593308217130307902e+00,4.643158253162776297e-08
1.595585998713053399e+00,4.667630483145544705e-08
1.597867036595416623e+00,4.695535501741446462e-08
1.600151335432579591e+00,4.721291027250997269e-08
1.602438899886378998e+00,4.733763957062213894e-08
1.604729734625315984e+00,4.752418674298749866e-08
1.607023844324565687e+00,4.772137493906354126e-08
1.609321233665987672e+00,4.779864381529336417e-08
1.611621907338133486e+00,4.786436406004447277e-08
1.613925870036258203e+00,4.721494070535367395e-08
1.616233126462328862e+00,4.743695508268683229e-08
1.618543681325034456e+00,4.752018920501906604e-08
1.620857539339795039e+00,4.665471314032058419e-08
1.623174705228772829e+00,4.636335187410924781e-08
1.625495183720879755e+00,4.743970373250110398e-08
1.627818979551789003e+00,4.696915268132111955e-08
1.630146097463943455e+00,4.653005826686584869e-08
1.632476542206565240e+00,4.805856124855558086e-08
1.634810318535667051e+00,4.838559626498415690e-08
1.637147431214059923e+00,4.731719423381462577e-08
1.639487885011364110e+00,4.831647309594789125e-08
1.641831684704017968e+00,4.871601152232005895e-08
1.644178835075289058e+00,5.085329843882930186e-08
1.646529340915282358e+00,5.055689836021686231e-08
1.648883207020951369e+00,5.091210605281474783e-08
1.651240438196106552e+00,5.167364558422844790e-08
1.653601039251426430e+00,5.252474920709365108e-08
1.655965015004466245e+00,5.135174706571235706e-08
1.658332370279669510e+00,5.231646297136913042e-08
1.660703109908375552e+00,5.354253881300123143e-08
1.663077238728830842e+00,5.389549560766960509e-08
1.665454761586198762e+00,4.732379454795832035e-08
1.667835683332569374e+00,4.582776057559710480e-08
1.670220008826969416e+00,5.065182091118892806e-08
1.672607742935371178e+00,5.162243996545935820e-08
1.674998890530704054e+00,5.317403391507765574e-08
1.677393456492863866e+00,5.462371891211635437e-08
1.679791445708722186e+00,5.552263162293278373e-08
1.682192863072137001e+00,5.594536342165944216e-08
1.684597713483963144e+00,5.460003631064950292e-08
1.687006001852060511e+00,5.555479270515830021e-08
1.689417733091306051e+00,5.648530404666918293e-08
1.691832912123602428e+00,5.598803825772100104e-08
1.694251543877889343e+00,5.517918186932877557e-08
1.696673633290152416e+00,5.628574549267439105e-08
1.699099185303433845e+00,5.627104171477151657e-08
1.701528204867841954e+00,5.539931019260543041e-08
1.703960696940562514e+00,5.644307095967595500e-08
1.706396666485867186e+00,5.896213139814180264e-08
1.708836118475125287e+00,5.919631051603947299e-08
1.711279057886812671e+00,5.914327130579484792e-08
1.713725489706522387e+00,5.918097057384010830e-08
1.716175418926974894e+00,5.949630428647496327e-08
1.718628850548028719e+00,6.097051760147218519e-08
1.721085789576689340e+00,6.205919477425372146e-08
1.723546241027120951e+00,6.115875847594878669e-08
1.726010209920655125e+00,6.149482848937956574e-08
1.728477701285803025e+00,6.227890891105766152e-08
1.730948720158263177e+00,6.159119992185008965e-08
1.733423271580934344e+00,6.170496803641063639e-08
1.735901360603923749e+00,6.166913714392412123e-08
1.738382992284558615e+00,6.348768790779290551e-08
1.740868171687395716e+00,6.208069584854951067e-08
1.743356903884232700e+00,6.452437273265406704e-08
1.745849193954117418e+00,6.314374525435784077e-08
1.748345046983358575e+00,6.461461012846587529e-08
1.750844468065536841e+00,6.566755396753072531e-08
1.753347462301513504e+00,6.493200837215863390e-08
1.755854034799443131e+00,6.251861056912263529e-08
1.758364190674782002e+00,6.251567703349043372e-08
1.760877935050299881e+00,6.643797064892084742e-08
1.763395273056090229e+00,6.231338171880533029e-08
1.765916209829580197e+00,6.522107763070601347e-08
1.768440750515541060e+00,6.316301213462000350e-08
1.770968900266099766e+00,6.535595135667678676e-08
1.773500664240747593e+00,6.174193377875639382e-08
1.776036047606353030e+00,6.205608920770817709e-08
1.778575055537169769e+00,6.409263994817828074e-08
1.781117693214850028e+00,6.445181577984306882e-08
1.783663965828452547e+00,6.175364142393888465e-08
1.786213878574454572e+00,6.126210487015722761e-08
1.788767436656762744e+00,6.883685077063068931e-08
1.791324645286722639e+00,5.792969955998990255e-08
1.793885509683129875e+00,6.289279387228488831e-08
1.796450035072240770e+00,5.767434204532489908e-08
1.799018226687783883e+00,6.588743710455102035e-08
1.801590089770968905e+00,5.320975718973073802e-08
1.804165629570498641e+00,6.532986132827251764e-08
1.806744851342579672e+00,5.650598461501415027e-08
1.809327760350932346e+00,6.260454073666629730e-08
1.811914361866802103e+00,5.156483924894077674e-08
1.814504661168970800e+00,6.762296722346570999e-08
1.817098663543765813e+00,6.297450446201620605e-08
1.819696374285072249e+00,5.517229799283498967e-08
1.822297798694343385e+00,5.976056367845176948e-08
1.824902942080611545e+00,7.651527020630063872e-08
1.827511809760498318e+00,5.821633443069481041e-08
1.830124407058226321e+00,6.206587410744888311e-08
1.832740739305628974e+00,6.832833247783935815e-08
1.835360811842163375e+00,6.103280488284195832e-08
1.837984630014918519e+00,6.290877946448182260e-08
1.840612199178628394e+00,6.807932956981383310e-08
1.843243524695681756e+00,6.373060252257838193e-08
1.845878611936132785e+00,6.613938912133121201e-08
1.848517466277714405e+00,5.815872188940666902e-08
1.851160093105845617e+00,7.167786437246913111e-08
1.853806497813645482e+00,5.918323617113266765e-08
1.856456685801942452e+00,6.280044282706003788e-08
1.859110662479286358e+00,5.934033288658725567e-08
1.861768433261958844e+00,6.081502541630295938e-08
1.864430003573984918e+00,5.791212046684386446e-08
1.867095378847143161e+00,5.636418937014812884e-08
1.869764564520977945e+00,6.086344349065672487e-08
1.872437566042809420e+00,6.156338144047118715e-08
1.875114388867745507e+00,7.705804142277312682e-08
1.877795038458693000e+00,7.350531680355162619e-08
1.880479520286368444e+00,7.841837520813038634e-08
1.883167839829308132e+00,8.227870214789774558e-08
1.885860002573882088e+00,7.545341606240341299e-08
1.888556014014302509e+00,7.924245147197375677e-08
1.891255879652636196e+00,7.466823967261541419e-08
1.893959604998815882e+00,8.715036136716173924e-08
1.896667195570651332e+00,8.600275707130031971e-08
1.899378656893840223e+00,7.857332782766919826e-08
1.902093994501980134e+00,8.028547389665963072e-08
1.904813213936579430e+00,7.737952013996532685e-08
1.907536320747067915e+00,8.241405466735638442e-08
1.910263320490809491e+00,8.055202656315788255e-08
1.912994218733112373e+00,7.719346584031125221e-08
1.915729021047241298e+00,7.877620231245030576e-08
1.918467733014428411e+00,8.858917478775117186e-08
1.921210360223884361e+00,6.937066418259828556e-08
1.923956908272810740e+00,8.024887751694563373e-08
1.926707382766410293e+00,7.754769487146713698e-08
1.929461789317899356e+00,8.072727269382848296e-08
1.932220133548518071e+00,8.145189388846677091e-08
1.934982421087544147e+00,7.846522460894087973e-08
1.937748657572301303e+00,7.990996172805706797e-08
1.940518848648173256e+00,6.359349239999369742e-08
1.943292999968614154e+00,8.682552692878413414e-08
1.946071117195159683e+00,8.111292088954761614e-08
1.948853205997440385e+00,8.184402655180550620e-08
1.951639272053191210e+00,9.644882461674333926e-08
1.954429321048263724e+00,7.341542826474720523e-08
1.957223358676638991e+00,8.389310387150980254e-08
1.960021390640437122e+00,8.778347073251329562e-08
1.962823422649930372e+00,8.537788503805824084e-08
1.965629460423554464e+00,9.660021931823388324e-08
1.968439509687919919e+00,9.387973976008192859e-08
1.971253576177824263e+00,9.309125253681807277e-08
1.974071665636262907e+00,9.499425354723671456e-08
1.976893783814442251e+00,9.752212446504568294e-08
1.979719936471789676e+00,9.677545237540303337e-08
1.982550129375966641e+00,1.005044972051637288e-07
1.985384368302880453e+00,1.038293821878425582e-07
1.988222659036694484e+00,9.917849883408493331e-08
1.991065007369842377e+00,9.847822955122434609e-08
1.993911419103037375e+00,1.029667914124715819e-07
1.996761900045286309e+00,1.057441185892985711e-07
1.999616456013900034e+00,1.065083559131468009e-07
2.002475092834506309e+00,1.110880757416451900e-07
2.005337816341060453e+00,1.092220777215414675e-07
2.008204632375858445e+00,1.077661872534869613e-07
2.011075546789548696e+00,1.113792388997372802e-07
2.013950565441142260e+00,1.131136650951555278e-07
2.016829694198027489e+00,1.127448130555769730e-07
2.019712938935980695e+00,1.142622653192336048e-07
2.022600305539177246e+00,1.158873037316760576e-07
2.025491799900205336e+00,1.158579225429269558e-07
2.028387427920077535e+00,1.148071058945389231e-07
2.031287195508240551e+00,1.159540767757511460e-07
2.034191108582591667e+00,1.187338826373613017e-07
2.037099173069486291e+00,1.182062707150841067e-07
2.040011394903753050e+00,1.164929107430565435e-07
2.042927780028705342e+00,1.199974460301250600e-07
2.045848334396151103e+00,1.197900123500100345e-07
2.048773063966410124e+00,1.212705726281528942e-07
2.051701974708320719e+00,1.209803614966948011e-07
2.054635072599255263e+00,1.220129466830785879e-07
